MetricRole,Metric,NoisePercent,TechniqueA,TechniqueB,AverageRankA,AverageRankB,RankDifferenceAbs,CrossProjectMeanA,CrossProjectMeanB,MeanDifferenceAminusB,BetterByAverageRank,NemenyiSE,QDemšar,QStudentizedRange,NemenyiPValue,NemenyiAlpha,CriticalDifference,SignificantNemenyi
SECONDARY,APFD,20,RandomForest,LightGBM,3.2083333333333335,2.2916666666666665,0.91666666666666696,0.60361933945736024,0.65398422273938983,-0.050364883282029593,LightGBM,0.37267799624996495,2.4596747752497694,3.4785054261852184,0.066389450033436548,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,20,RandomForest,NaiveBayes,3.2083333333333335,1.7916666666666667,1.4166666666666667,0.60361933945736024,0.71593554764442791,-0.11231620818706767,NaiveBayes,0.37267799624996495,3.8013155617496426,5.3758720222862451,0.0008290735179843356,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,20,XGBoost,LightGBM,2.7083333333333335,2.2916666666666665,0.41666666666666696,0.63588842832461367,0.65398422273938983,-0.018095794414776156,LightGBM,0.37267799624996495,1.1180339887498956,1.5811388300841909,0.6783876864180387,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,20,XGBoost,NaiveBayes,2.7083333333333335,1.7916666666666667,0.91666666666666674,0.63588842832461367,0.71593554764442791,-0.080047119319814231,NaiveBayes,0.37267799624996495,2.459674775249769,3.478505426185218,0.066389450033436548,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,20,LightGBM,NaiveBayes,2.2916666666666665,1.7916666666666667,0.49999999999999978,0.65398422273938983,0.71593554764442791,-0.061951324905038074,NaiveBayes,0.37267799624996495,1.3416407864998732,1.8973665961010269,0.53628696835234879,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,25,RandomForest,XGBoost,3.1666666666666665,2.875,0.29166666666666652,0.57837815697160166,0.6080003514737311,-0.02962219450212944,XGBoost,0.37267799624996495,0.78262379212492594,1.1067971810589321,0.86238257827487441,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,25,RandomForest,LightGBM,3.1666666666666665,2.25,0.91666666666666652,0.57837815697160166,0.63035299976462345,-0.05197484279302178,LightGBM,0.37267799624996495,2.4596747752497681,3.4785054261852166,0.06638945003343677,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,25,RandomForest,NaiveBayes,3.1666666666666665,1.7083333333333333,1.4583333333333333,0.57837815697160166,0.69391744985432469,-0.11553929288272302,NaiveBayes,0.37267799624996495,3.9131189606246317,5.5339859052946636,0.00052809986702340161,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,25,XGBoost,LightGBM,2.875,2.25,0.625,0.6080003514737311,0.63035299976462345,-0.022352648290892341,LightGBM,0.37267799624996495,1.6770509831248424,2.371708245126285,0.33583741395175448,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,25,XGBoost,NaiveBayes,2.875,1.7083333333333333,1.1666666666666667,0.6080003514737311,0.69391744985432469,-0.085917098380593582,NaiveBayes,0.37267799624996495,3.130495168499706,4.427188724235732,0.0094526282595450706,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,25,LightGBM,NaiveBayes,2.25,1.7083333333333333,0.54166666666666674,0.63035299976462345,0.69391744985432469,-0.063564450089701241,NaiveBayes,0.37267799624996495,1.4534441853748634,2.055480479109447,0.46594389916709111,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,30,RandomForest,XGBoost,3.5,2.5416666666666665,0.95833333333333348,0.54933699387589152,0.58390861988987841,-0.034571626013986889,XGBoost,0.37267799624996495,2.5714781741247585,3.636619309193637,0.0496761660310302,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,30,RandomForest,LightGBM,3.5,2.4166666666666665,1.0833333333333335,0.54933699387589152,0.59894417997500005,-0.049607186099108525,LightGBM,0.37267799624996495,2.9068883707497268,4.110960958218894,0.019129641241287354,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,30,RandomForest,NaiveBayes,3.5,1.5416666666666667,1.9583333333333333,0.54933699387589152,0.66881045241752302,-0.11947345854163149,NaiveBayes,0.37267799624996495,5.2547597471245053,7.4313525013956916,8.8615829185734185e-07,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,30,XGBoost,LightGBM,2.5416666666666665,2.4166666666666665,0.125,0.58390861988987841,0.59894417997500005,-0.015035560085121635,LightGBM,0.37267799624996495,0.33541019662496846,0.47434164902525694,0.98700443394353765,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,30,XGBoost,NaiveBayes,2.5416666666666665,1.5416666666666667,0.99999999999999978,0.58390861988987841,0.66881045241752302,-0.084901832527644605,NaiveBayes,0.37267799624996495,2.6832815729997472,3.7947331922020551,0.036648442860974573,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,30,LightGBM,NaiveBayes,2.4166666666666665,1.5416666666666667,0.87499999999999978,0.59894417997500005,0.66881045241752302,-0.06986627244252297,NaiveBayes,0.37267799624996495,2.3478713763747785,3.3203915431767976,0.087466386065590429,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,40,RandomForest,XGBoost,3.625,2.5833333333333335,1.0416666666666665,0.49197708479583496,0.52973011461096686,-0.0377530298151319,XGBoost,0.37267799624996495,2.7950849718747368,3.9528470752104741,0.026661661141432424,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,40,RandomForest,LightGBM,3.625,2.3333333333333335,1.2916666666666665,0.49197708479583496,0.54278425678180897,-0.050807171985974009,LightGBM,0.37267799624996495,3.4659053651246738,4.9015303732609876,0.0029694369900498119,0.050000000000000003,0.95742161329511866,True
